Description,CallType
HAZARDOUS SITUATION/,SERVICE
HELICOPTER,MISC POLICING
HIT & RUN (PROPERTY,REPORT ONLINE OPD
HIT & RUN RESULTING,REPORT ONLINE OPD
HOMELESS ENCAMPMENT,311 FILE ONLINE
IDENTITY THEFT,REPORT ONLINE OPD
ILLEGAL EXHIBITION O,OTHER
INCEST,SOCIETY
INCORRIGIBLE: BEYOND,SOCIETY
INDECENT EXPOSURE,SOCIETY
INFLICT INJURY ON CH,SOCIETY
INFLICT INJURY ON SP,SOCIETY
INJURE TELEPHONE/POW,OTHER
INJURIED ANIMAL,SERVICE
INSANE PERSON-VIOLEN,MEDICAL
INSFRASTRUCTURE SECU,OTHER
INTERFERE WITH POWER,SERVICE
INTIMIDATION OF A WI,MISC POLICING
INVESTIGATE POSSIBLE,SERVICE
INVESTIGATE REPORT F,SERVICE
INVESTIGATE REPORT O,SERVICE
KIDNAPPING,SOCIETY
KIDNAPPING FOR RANSO,SOCIETY
LEASH LAW VIOLATION,SOCIETY
LIVE ANIMAL PICK UP,SERVICE
LOCATED MISSING PERS,SERVICE
LOCKOUT,OTHER
LOITER WHERE CHILDRE,SOCIETY
LOJACK HIT,MISC POLICING
LOST PERSON,SOCIETY
LOST PROPERY,REPORT ONLINE OPD
LOST VEHICLE,NON EMERGENCY OFFICER REQUIRED
LOUD MUSIC,SOCIETY
MAINTAINING PUBLIC N,SOCIETY
MAKE A PHONE CALL,OTHER
MAYHEM,SOCIETY
MEAL BREAK,MISC POLICING
MEET THE OFFICER,MISC POLICING
MEET WITH THE CITIZE,MISC POLICING
MENTALLY ILL,MEDICAL
MISCALL,HANG UP / UNFOUNDED
MISCELLANEOUS/UNKNOW,OTHER
MISDIAL,HANG UP / UNFOUNDED
MISSING JUVENILE,SOCIETY
MISSING PERSON,SOCIETY
MISSING PERSON AT RI,SOCIETY
MOBILE FIELD FORCE,MISC POLICING
MURDER,VIOLENT CRIME
NA,OTHER
NON POLICE/LAW RELAT,OTHER
NOTIFY,MISC POLICING
OAKLAND MUNICIPLE CO,311 FILE ONLINE
OAKLAND TRAFFIC CODE,311 FILE ONLINE
OBSTRUCT PERSON'S MO,OTHER
OBSTRUCTING JUSTICE-,REPORT ONLINE OPD
OBTAIN MONEY BY FALS,REPORT ONLINE OPD
OFF DUTY (PCD),MISC POLICING
OFFICER NEEDS IMMEDI,SERVICE
ON VIEW,MISC POLICING
ON-DUTY (PCD),MISC POLICING
ON-LINE REPORT (COPL,REPORT ONLINE OPD
OPEN HYDRANT,FIRE
OVERDOSE,MEDICAL
PACIFIC GAS AND ELEC,OTHER
PAROLEE,MISC POLICING
PASS FICTITIOUS CHEC,REPORT ONLINE OPD
PEEPING TOM,SOCIETY
PERSON DETAINED-IN C,MISC POLICING
PERSON SCREAMING,SOCIETY
PERSONAL BREAK,MISC POLICING
PETTY THEFT W/PRIORS,REPORT ONLINE OPD
PHONE RPT,MISC POLICING
PICK UP,MISC POLICING
PICK UP 261 KIT,MISC POLICING
PICKETERS/PROTESTERS,SOCIETY
PLAYING BALL IN STRE,SOCIETY
POLICE RELATED MATTE,MISC POLICING
POSSESS FORGED NOTES,REPORT ONLINE OPD
POSSESS NARCOTIC CON,OTHER
POSSESSION OF CONCEN,OTHER
POSSESSION OR PURCHA,MISC POLICING
POSSESSION/MANUFACTU,MISC POLICING
POSSIBLE DEAD PERSON,MEDICAL
POSSIBLE EXPLOSION O,SERVICE
POUND,MISC POLICING
PRIVATE EYE,MISC POLICING
PROSTITUTION/DISORDE,SOCIETY
PROWLER OUTSIDE,SOCIETY
PURSUIT,SERVICE
RAIDER GAME,MISC POLICING
RAPE VICTIM,VIOLENT CRIME
RECEIVE KNOWN STOLEN,REPORT ONLINE OPD
RECKLESS DRIVING,TRAFFIC
RECOVERED STOLEN VEH,OTHER
RELIEF,MISC POLICING
REPORT REVIEW,MISC POLICING
REQUIRED TO REGISTER,MISC POLICING
RESPOND TO COMMUNICA,MISC POLICING
RESPOND TO THE OFFIC,MISC POLICING
ROBBERY,SOCIETY
ROBBERY: FIRST DEGRE,VIOLENT CRIME
RUNAWAY,SOCIETY
SCOOTERS INVOLVED IN,TRAFFIC
SEARCH,MISC POLICING
SECURITY CHECK,SERVICE
SENILE PERSON,SOCIETY
SEWER PROBLEMS,311 URGENT
SEXUAL ASSAULT; RAPE,VIOLENT CRIME
SEXUAL BATTERY,VIOLENT CRIME
SHOOTING AT/INTO AN,VIOLENT CRIME
SIDESHOW,SERVICE
SIGNALS-MALFUNCTIONI,311 URGENT
SILENT ROBBERY ALARM,PROPERTY
SLEEPER,SOCIETY
SMOKE,FIRE
SOCCER GAME,MISC POLICING
SODOMY,VIOLENT CRIME
SPECIAL ASSIGNMENT,MISC POLICING
SPECIAL ENFORCEMENT,MISC POLICING
SPOUSAL RAPE,VIOLENT CRIME
STALKING,SOCIETY
STALLED VEH,TRAFFIC
STAND BY AND PRESERV,MISC POLICING
STOLEN LICENSE PLATE,NON EMERGENCY OFFICER REQUIRED
STOLEN VEHICLE,NON EMERGENCY OFFICER REQUIRED
STOP ON A BICYCLE,MISC POLICING
STREET CLOSURE,MISC POLICING
SUBJECT ARMED WITH W,SERVICE
SUICIDE,MEDICAL
SUICIDE THREATS,SOCIETY
SUPPLEMENT,MISC POLICING
SURRENDER OF GUN OR,NON EMERGENCY OFFICER REQUIRED
SURVEILLANCE,OTHER
SUSPECT,MISC POLICING
SUSPECTS,MISC POLICING
SUSPICIOUS PERSON,SOCIETY
SUSPICIOUS VEHICLE,SOCIETY
TARASOFF,OTHER
TEC CALL,MISC POLICING
TEST,MISC POLICING
THEFT,REPORT ONLINE OPD
THEFT COIN OPERATED,REPORT ONLINE OPD
THEFT OF MAIL/POSSES,REPORT ONLINE OPD
THEFT OF UTILITY SER,REPORT ONLINE OPD
THREATEN CRIME WITH,SOCIETY
THREATEN WITNESS/VIC,SERVICE
THROWING ITEMS/SUBSTANCE,SERVICE
TILL TAP,OTHER
TOW REQUESTED,MISC POLICING
TRAFFIC CONTROL POST,MISC POLICING
TRAFFIC STOP--COVER,TRAFFIC
TRAINING,MISC POLICING
TRANSPORTING ADMINIS,MISC POLICING
TRESPASS:,SERVICE
TRUANT,SOCIETY
UNAUTHORIZED CABLE T,REPORT ONLINE OPD
UNIT,MISC POLICING
